displacement,kilowatts,mileage,price,year,transmission_encoded,type_encoded
2.0,150,30000,119600,2021,2,6
2.0,150,30000,126000,2021,2,6
2.0,150,30000,84900,2022,2,5
2.0,150,30155,91980,2019,2,3
2.0,85,30544,51000,2022,2,2
2.0,140,30750,69990,2019,2,3
2.0,150,31000,129900,2022,2,6
4.0,420,31000,268900,2023,2,3
1.9,66,31355,4300,2000,0,2
1.9,105,32000,9500,2008,0,3
2.0,110,32000,62000,2019,0,6
1.6,75,33000,12200,2010,0,2
4.0,373,33000,168000,2021,2,6
2.0,110,33137,43990,2017,2,2
2.8,142,33333,5150,2000,2,3
1.9,74,33333,5900,2002,2,2
1.8,110,33545,6800,2001,0,3
2.0,110,33900,75000,2020,2,6
2.0,110,33900,75000,2020,2,6
2.0,103,34000,12500,2008,0,2
1.6,85,34000,37400,2020,0,2
2.0,120,34000,65000,2020,2,3
3.0,210,34500,159500,2019,2,6
3.0,210,34500,159500,2019,2,6
3.0,210,34500,159500,2019,2,6
1.9,180,35000,4800,1999,0,3
2.5,132,35000,4300,2001,0,3
1.6,85,35000,33900,2018,0,2
4.0,441,35000,270000,2021,2,4
2.0,85,35000,50000,2021,0,2
2.3,98,35555,4200,1991,0,0
1.9,66,35686,4300,1999,0,2
2.0,85,35863,1500,1993,0,0
3.0,210,35864,144000,2020,2,6
2.9,331,36000,105000,2017,2,5
3.0,210,36000,139000,2019,2,6
3.0,210,36000,145000,2020,2,6
1.6,85,36200,41400,2018,0,2
3.0,257,36788,165990,2020,2,5
2.9,331,37000,90000,2017,2,5
2.0,110,37000,41980,2020,2,2
2.0,110,37000,75000,2022,2,6
1.8,92,38000,1800,1998,0,3
2.0,140,38000,57000,2017,2,3
1.6,85,38000,37900,2020,0,2
1.6,81,38455,37499,2016,0,2
2.0,140,38900,89500,2019,2,6
1.0,300,38900,88000,2020,2,6
1.5,110,39000,38940,2019,2,2
1.5,110,39000,38940,2019,2,2
3.0,256,39000,93000,2020,2,5
3.0,170,39237,89990,2018,2,6
4.0,373,39392,220000,2022,2,6
1.9,96,39999,5750,2001,0,3
1.9,81,40000,4600,2001,0,2
2.0,105,40000,11500,2008,0,3
1.5,110,40000,57000,2021,2,2
1.5,110,40000,55000,2021,2,2
2.0,228,40000,98500,2022,2,5
1.4,90,41000,20000,2014,2,2
3.0,200,41000,121900,2019,2,6
3.0,200,41000,121900,2019,2,6
3.0,200,41000,121900,2019,2,6
2.0,150,41000,119900,2021,2,6
4.0,441,41600,249950,2021,2,6
3.0,140,42000,74950,2017,2,3
4.0,350,42000,190000,2021,2,6
3.0,210,42000,177000,2022,2,6
3.0,210,42000,149000,2022,2,6
1.9,105,42300,2600,1995,0,3
3.0,140,42500,77700,2017,2,3
4.0,441,42871,249990,2020,2,6
2.0,150,42916,93900,2020,2,3
3.0,176,43000,77000,2015,2,6
3.0,176,43000,77000,2015,2,6
2.0,150,43625,105000,2021,2,6
1.6,84,44000,35000,2018,0,2
2.0,228,44000,89900,2021,2,5
3.0,170,44000,149000,2021,2,6
1.6,85,44233,44900,2017,0,6
1.6,85,44233,44900,2017,0,6
3.0,170,44400,94450,2020,2,3
1.5,110,44512,84900,2023,2,2
2.5,85,45000,1000,1994,0,0
2.0,258,45000,91500,2020,2,3
2.0,150,45000,109000,2021,2,6
2.0,110,45000,78700,2021,2,6
4.0,441,45000,239900,2021,2,6
2.0,66,45365,2024,1993,0,0
