displacement,kilowatts,mileage,price,year,transmission_encoded,type_encoded
2.0,110,167000,46990,2019,2,5
1.6,85,111000,36990,2019,2,2
2.0,110,94000,46990,2018,0,2
2.0,110,183990,48500,2018,2,5
1.6,85,124873,32990,2018,2,2
2.0,110,89000,71990,2020,2,5
1.6,85,139734,35990,2019,2,2
1.6,85,139840,32990,2019,2,2
2.0,110,217000,48900,2019,2,5
2.0,110,97000,48500,2017,0,5
2.0,110,140000,35500,2017,0,2
2.0,135,210000,35999,2018,2,3
2.0,140,143614,50900,2020,2,5
2.0,110,145000,35900,2016,0,2
2.0,110,206550,48450,2018,2,5
2.0,85,1,60700,2023,0,5
2.0,110,1,79900,2023,2,2
2.0,110,1,84980,2023,2,5
2.0,110,1,84980,2023,2,5
2.0,140,151000,57000,2017,2,5
2.0,145,9,89915,2023,2,5
2.0,110,175000,29999,2017,0,2
2.0,110,165000,29990,2018,0,2
2.0,140,220000,34500,2016,2,2
2.0,110,0,72270,2023,2,2
2.0,110,0,77800,2023,2,5
2.0,147,0,94460,2023,2,5
2.0,110,0,59100,2023,0,2
1.0,81,0,42250,2023,0,5
1.0,59,0,34346,2023,0,0
1.2,55,300000,8900,2011,0,0
1.2,44,252500,9500,2014,0,0
1.2,63,276000,9800,2012,0,0
1.6,75,288000,7000,2007,0,2
1.2,55,302000,8950,2010,0,0
1.2,55,185214,10000,2010,0,0
1.2,55,217000,9900,2011,0,0
1.2,55,222450,8250,2010,0,0
1.2,55,181000,8900,2010,0,0
1.6,55,188000,9999,2011,0,0
1.9,96,400000,7500,2007,0,2
1.8,118,235000,8700,2009,0,2
1.8,120,140000,9000,2009,0,2
1.2,55,190000,9499,2010,0,0
1.2,55,190000,8999,2010,0,0
1.2,44,155000,7800,2010,0,0
1.2,55,230000,7900,2011,0,0
1.2,55,222000,8650,2010,0,0
1.2,44,205678,8999,2013,0,0
1.2,55,252000,8750,2011,0,0
2.0,103,300000,7800,2006,0,2
1.6,85,160000,7300,2017,2,2
1.2,44,131000,8300,2009,0,0
1.4,77,210000,6500,2009,0,2
1.6,66,260000,10000,2010,0,0
1.6,77,217000,12500,2011,0,2
1.6,77,203000,14800,2012,0,5
1.6,77,260178,14500,2012,0,2
1.6,77,243578,11700,2010,2,2
2.0,103,243000,12800,2012,0,2
1.6,55,250000,8500,2012,0,0
1.2,63,290000,11800,2010,0,0
2.0,125,283000,10500,2007,0,4
1.2,55,188816,10650,2011,0,0
1.2,63,213000,10300,2012,0,0
1.6,77,312000,12500,2010,0,2
1.6,55,224000,10500,2011,0,0
1.6,77,288000,13850,2012,0,2
1.6,77,243000,12900,2011,0,2
1.6,77,242000,12100,2009,0,2
1.6,77,209175,13900,2009,0,2
1.6,77,200000,11900,2010,0,2
1.6,77,286000,12900,2010,2,2
1.2,63,157100,14900,2013,0,2
2.0,103,343150,12500,2011,0,2
2.0,103,249216,16600,2011,2,5
2.0,81,249513,15499,2010,0,5
1.6,77,230000,17900,2014,0,2
2.0,103,267500,15250,2010,0,5
2.0,103,215060,15900,2009,0,5
1.6,77,254100,14499,2012,2,2
1.6,81,270000,19999,2015,0,2
2.0,125,230000,16500,2009,2,2
1.6,77,230000,19500,2013,0,2
1.8,132,202000,18550,2014,2,2
2.0,110,220000,19500,2016,2,2
1.6,77,230000,16750,2014,0,2
1.6,81,400000,17900,2014,0,2
2.0,125,264666,16700,2010,0,2
2.0,125,255000,17900,2012,0,5
1.6,77,217029,19800,2014,0,2
1.6,81,227000,18900,2014,0,2
1.4,55,138488,16000,2016,0,0
2.0,81,250000,15500,2012,0,5
2.0,125,235000,17000,2013,0,2
1.4,66,131408,18999,2018,0,2
2.0,81,333064,17900,2014,0,5
2.0,125,370000,13700,2013,2,4
2.0,137,239952,19100,2018,2,2
2.0,103,244600,18699,2012,0,5
1.6,77,230000,18350,2014,2,2
2.0,103,197233,19300,2012,2,3
1.4,66,107000,18950,2018,0,2
2.0,81,193000,15650,2011,0,5
2.0,103,185000,16800,2009,0,5
1.6,77,290000,19000,2014,2,2
1.6,77,223800,18500,2013,0,2
1.4,66,201000,19900,2018,0,2
2.0,103,267237,15500,2009,0,5
1.6,81,257449,19999,2017,2,2
2.0,81,293000,22900,2016,0,5
1.6,78,159200,22000,2013,0,2
1.6,77,220000,20000,2014,0,2
2.0,103,220000,22000,2014,0,5
2.0,110,271000,19900,2014,2,2
1.4,110,91000,20400,2016,2,2
1.6,85,214000,22980,2018,2,2
2.0,103,174000,21000,2011,2,2
1.6,77,217000,21000,2015,2,2
1.6,85,154138,24490,2018,0,2
2.0,103,290000,17000,2011,0,3
2.0,135,295000,25000,2016,2,3
2.0,135,331445,24999,2017,2,2
1.6,85,224000,23500,2018,2,2
1.6,77,170000,23800,2014,0,2
1.6,85,163000,22900,2018,0,2
1.6,77,280000,21500,2014,2,2
2.0,135,258000,22000,2015,2,2
1.6,77,228000,21000,2014,0,2
2.0,110,330000,23000,2015,2,2
2.0,110,328000,20500,2014,2,2
1.6,85,230200,22700,2017,0,2
1.6,85,224400,22700,2017,0,2
1.4,66,185000,21900,2018,0,2
2.0,110,255000,19990,2013,0,2
1.6,81,110000,23800,2017,0,2
1.6,85,237823,23450,2018,2,2
1.6,77,216000,19500,2014,0,2
1.6,85,219000,23000,2017,0,2
1.6,77,230000,21000,2015,0,2
2.0,135,257000,22500,2015,2,2
1.6,81,206000,22500,2015,0,2
1.6,81,240000,22900,2016,0,2
2.0,110,51256,72500,2021,2,5
2.0,85,1,53900,2023,0,2
2.0,84,1,48900,2023,0,2
2.0,110,187,42900,2018,0,5
2.0,110,184000,42990,2019,2,5
1.6,85,132995,40900,2018,2,5
2.0,110,148000,54500,2018,2,5
2.0,140,187000,57999,2019,2,5
2.0,110,98000,38000,2018,0,2
2.0,110,5,87992,2023,2,5
2.0,110,167000,49999,2019,2,2
2.0,110,146000,36900,2019,2,2
1.6,85,186735,37500,2019,2,5
1.6,88,207000,34900,2017,0,2
2.0,110,196000,31300,2018,0,2
1.6,88,199000,35950,2016,2,2
2.0,110,187000,45900,2017,2,5
2.0,110,177000,43990,2019,2,5
2.0,110,167231,49999,2019,2,2
1.2,55,0,8800,2011,0,0
1.0,70,5,37472,2023,0,5
2.0,110,5,87136,2023,2,5
2.0,107,5,60751,2023,2,2
2.0,110,128000,44900,2018,2,5
2.0,85,0,53752,2023,0,2
2.0,109,1,63497,2023,0,2
2.0,110,178999,46900,2018,2,5
2.0,110,65876,54000,2020,2,5
2.0,140,173614,48000,2020,2,2
2.0,110,197344,33500,2015,0,2
2.0,110,198391,34900,2017,0,2
1.6,85,172116,34900,2018,0,5
1.2,50,210000,7900,2010,0,1
1.2,55,280000,9500,2010,0,0
1.2,55,183000,9500,2011,0,0
1.2,55,254000,9500,2010,0,0
1.2,51,244521,7500,2006,0,1
1.2,55,205000,8450,2011,0,0
1.2,44,189500,6800,2010,0,0
1.2,55,255000,8500,2011,0,0
1.6,55,249000,9700,2010,0,0
1.6,55,198000,8700,2010,0,0
1.9,96,210000,6700,2004,0,0
1.9,77,310973,5600,2001,0,2
1.6,55,233839,9200,2011,0,0
1.9,47,346000,6300,2005,0,0
1.2,55,218596,7999,2010,0,0
1.2,55,223111,8999,2010,0,0
1.6,66,222400,8900,2010,0,1
1.2,55,230000,8650,2010,0,0
1.2,55,264000,8999,2011,0,0
2.0,85,150000,5600,2002,0,2
1.0,44,180000,11950,2017,0,0
1.2,55,162303,9999,2013,0,0
1.4,92,160000,11500,2010,0,2
1.6,66,255000,10200,2011,0,0
1.6,66,259731,10990,2010,0,0
1.6,77,250000,13600,2011,0,2
2.0,103,268900,15000,2013,0,5
1.6,55,218000,10990,2011,0,0
2.0,81,250000,14400,2011,0,5
1.2,55,249085,13900,2013,0,2
1.6,55,233800,9900,2013,0,0
1.6,66,260000,12999,2012,0,0
1.6,55,164697,12300,2014,0,0
1.4,132,202000,14900,2011,2,0
1.6,77,200200,10999,2010,0,2
1.6,77,300500,14500,2013,0,2
1.2,55,181456,9999,2011,0,0
1.6,77,245000,12300,2011,0,2
1.6,77,209000,14990,2009,0,2
1.2,55,210000,12990,2011,0,1
1.6,77,239000,12900,2010,0,2
1.2,55,269405,15800,2015,0,2
2.0,103,251252,15000,2011,0,2
1.6,55,230000,10600,2010,0,0
1.2,73,145000,11600,2011,2,0
2.0,103,430497,13500,2009,2,2
1.6,77,278200,11199,2012,0,2
2.0,81,193913,19900,2016,0,5
1.6,66,259744,15600,2015,0,2
2.0,81,245000,17500,2011,0,5
1.6,77,240000,18900,2014,0,2
2.0,125,280000,16600,2012,2,4
1.6,81,240000,19000,2016,0,2
1.4,66,196820,15950,2017,0,0
2.0,103,231000,18500,2011,2,3
2.0,103,207401,14900,2012,2,2
1.6,75,185000,19500,2013,0,2
2.0,103,211000,15500,2012,0,2
2.0,103,210000,15500,2010,0,2
2.0,103,250000,15600,2010,0,5
1.6,77,252027,14700,2011,0,2
1.6,74,253000,15800,2014,0,2
2.0,103,306600,16999,2012,2,2
1.6,81,231000,19500,2015,0,2
2.0,110,295000,18900,2014,0,2
