displacement,kilowatts,mileage,price,year,rimSize
1.6,77.0,230120.0,23900,2013.0,16.0
3.0,171.0,245000.0,25000,2007.0,20.0
2.0,130.0,403000.0,24000,2012.0,17.0
3.0,176.0,267067.0,24500,2008.0,16.0
2.7,140.0,234500.0,19999,2009.0,19.0
1.6,81.0,198000.0,23450,2015.0,16.0
3.0,176.0,227000.0,20300,2010.0,17.0
2.7,140.0,317000.0,17500,2009.0,17.0
2.0,110.0,245000.0,21999,2013.0,17.0
2.0,105.0,207000.0,20990,2009.0,19.0
2.0,110.0,230000.0,28300,2014.0,16.0
3.0,150.0,250000.0,26500,2012.0,18.0
2.0,103.0,245800.0,27333,2013.0,17.0
2.0,130.0,175000.0,27900,2012.0,17.0
1.6,83.0,211000.0,30000,2017.0,16.0
2.0,130.0,205600.0,29999,2011.0,17.0
2.0,103.0,220165.0,28998,2012.0,18.0
3.0,150.0,266000.0,22600,2012.0,17.0
2.0,88.0,289000.0,25250,2015.0,16.0
1.6,81.0,176000.0,31500,2017.0,16.0
2.0,105.0,250000.0,24900,2010.0,18.0
2.0,130.0,257000.0,28800,2012.0,17.0
2.0,130.0,185678.0,29500,2012.0,17.0
2.0,125.0,233382.0,20500,2010.0,19.0
2.0,125.0,251000.0,27900,2010.0,17.0
2.0,125.0,260000.0,27999,2010.0,17.0
1.6,81.0,219858.0,26900,2016.0,16.0
3.0,180.0,300000.0,29500,2013.0,19.0
2.0,120.0,270000.0,28500,2011.0,16.0
3.0,171.0,320000.0,25500,2007.0,20.0
2.0,110.0,233597.0,27500,2013.0,19.0
3.0,176.0,303716.0,27900,2010.0,19.0
1.4,103.0,150000.0,25900,2013.0,18.0
3.0,176.0,270000.0,26800,2010.0,19.0
2.0,110.0,232331.0,27000,2015.0,17.0
1.8,118.0,165000.0,27000,2011.0,19.0
3.0,176.0,221893.0,26500,2009.0,18.0
3.0,176.0,300000.0,28000,2011.0,16.0
2.0,88.0,215000.0,25500,2014.0,16.0
2.0,110.0,237000.0,25900,2014.0,17.0
3.0,150.0,275000.0,31999,2012.0,19.0
2.0,150.0,191187.0,75000,2018.0,19.0
3.0,230.0,306000.0,44000,2012.0,18.0
3.0,210.0,125000.0,94800,2019.0,19.0
3.0,150.0,172500.0,31500,2011.0,20.0
2.0,227.0,70000.0,73900,2018.0,19.0
1.6,81.0,230000.0,30000,2016.0,17.0
2.5,228.0,218000.0,59900,2013.0,20.0
3.0,190.0,233000.0,89999,2017.0,21.0
