displacement,kilowatts,mileage,price,year,rimSize
2.0,100.0,300000.0,1500,1982.0,14.0
2.7,125.0,350000.0,3400,2002.0,16.0
2.2,85.0,320000.0,2300,2000.0,15.0
2.0,80.0,248000.0,4800,2008.0,16.0
2.7,130.0,400000.0,8500,2002.0,16.0
3.2,165.0,350000.0,5000,1999.0,16.0
4.3,200.0,310000.0,6500,2000.0,16.0
2.0,80.0,223000.0,7750,2006.0,15.0
3.2,150.0,345000.0,7500,2004.0,16.0
2.0,80.0,242000.0,7500,2006.0,16.0
4.3,205.0,220000.0,9950,2001.0,19.0
2.2,110.0,270000.0,9800,2006.0,17.0
2.7,115.0,270000.0,8500,2002.0,15.0
1.8,105.0,260000.0,9000,2006.0,16.0
2.2,75.0,372000.0,6399,2004.0,16.0
1.8,80.0,300000.0,5700,1992.0,18.0
2.0,80.0,333500.0,9350,2006.0,16.0
2.3,100.0,320000.0,7000,1984.0,16.0
2.2,110.0,262000.0,8300,2004.0,16.0
2.2,85.0,320000.0,6100,2000.0,16.0
2.2,40.0,455550.0,7000,1973.0,15.0
2.7,130.0,350000.0,9890,2003.0,16.0
2.2,110.0,400000.0,9500,2004.0,18.0
2.3,97.0,269000.0,7300,1988.0,17.0
2.2,103.0,206000.0,9200,2004.0,15.0
2.2,85.0,357900.0,6300,2001.0,16.0
2.0,80.0,218000.0,11299,2011.0,16.0
2.7,120.0,200000.0,10500,2000.0,17.0
3.2,150.0,330000.0,10500,2004.0,18.0
2.2,110.0,301000.0,11800,2007.0,16.0
2.0,60.0,266000.0,10600,2010.0,16.0
3.2,145.0,270000.0,13500,2001.0,16.0
3.0,65.0,560000.0,7800,1977.0,16.0
2.0,100.0,256000.0,13000,2010.0,17.0
2.7,130.0,350000.0,9100,2004.0,16.0
2.2,125.0,302000.0,12400,2006.0,16.0
2.5,150.0,290000.0,14900,2010.0,16.0
2.0,100.0,355000.0,13100,2009.0,16.0
2.2,90.0,276000.0,10550,2005.0,16.0
2.2,125.0,313000.0,13500,2008.0,16.0
